correlation,scores_based_on_emp_rank,p_value,subharmonic_method,periods_considered,threshold_exponent,compared_with,exp_with,ground_truth_type,clean_subharmonic_method,method_focus
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_choose_top_3_delta_t,4,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method B,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_ratio,4,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method C,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),4,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method A,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_choose_top_3_ratio,4,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method I,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_delta_t,4,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method H,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_t_sub,4,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method G,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_choose_top_3_t_sub,4,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method D,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_delta_t,4,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method E,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_ratio,4,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method F,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_choose_top_3_delta_t,5,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method B,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_ratio,5,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method C,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),5,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method A,Delta_t focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_choose_top_3_ratio,5,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method I,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_delta_t,5,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method H,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_ratio_and_filter_by_smallest_t_sub,5,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method G,Delta_t/T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_choose_top_3_t_sub,5,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method D,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_delta_t,5,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method E,T_sub focused
,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,Smallest_t_sub_and_filter_by_smallest_ratio,5,10**1,Ranking Order,Intervals,Intervals - Ranking Order,Method F,T_sub focused
