,case,note_names,periods_considered,threshold_exponent,tension_score,chord_label,normalized_tension_score
49,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",8,10**10,37060.37850756015,Adim1st,0.33923895363175777
50,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",8,10**11,37060.37850756015,Adim1st,0.33923895363175777
51,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",8,10**12,37060.37850756015,Adim1st,0.33923895363175777
52,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",8,10**2,0.0,Adim1st,0.0
53,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",8,10**3,0.0,Adim1st,0.0
54,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",8,10**4,37060.37850756015,Adim1st,0.6957459176064416
55,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",8,10**5,37060.37850756015,Adim1st,0.33923895363175777
56,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",8,10**6,37060.37850756015,Adim1st,0.33923895363175777
57,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",8,10**7,37060.37850756015,Adim1st,0.33923895363175777
58,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",8,10**8,37060.37850756015,Adim1st,0.33923895363175777
59,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",8,10**9,37060.37850756015,Adim1st,0.33923895363175777
60,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",9,10**1,0.0,Adim1st,0.0
61,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",9,10**10,37060.37850756015,Adim1st,0.25669152983419175
62,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",9,10**11,37060.37850756015,Adim1st,0.25669152983419175
63,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",9,10**12,37060.37850756015,Adim1st,0.25669152983419175
64,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",9,10**2,0.0,Adim1st,0.0
65,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",9,10**3,0.0,Adim1st,0.0
66,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",9,10**4,37060.37850756015,Adim1st,0.8166093590567538
67,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",9,10**5,37060.37850756015,Adim1st,0.25669152983419175
68,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",9,10**6,37060.37850756015,Adim1st,0.25669152983419175
69,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",9,10**7,37060.37850756015,Adim1st,0.25669152983419175
70,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",9,10**8,37060.37850756015,Adim1st,0.25669152983419175
71,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",9,10**9,37060.37850756015,Adim1st,0.25669152983419175
72,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",10,10**1,0.0,Adim1st,0.0
73,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",10,10**10,101803.24854883472,Adim1st,0.8464516485785107
74,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",10,10**11,101803.24854883472,Adim1st,0.8464516485785107
75,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",10,10**12,101803.24854883472,Adim1st,0.8464516485785107
76,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",10,10**2,0.0,Adim1st,0.0
77,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",10,10**3,0.0,Adim1st,0.0
78,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",10,10**4,0.0,Adim1st,0.0
79,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",10,10**5,101803.24854883472,Adim1st,0.8464516485785107
80,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",10,10**6,101803.24854883472,Adim1st,0.8464516485785107
81,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",10,10**7,101803.24854883472,Adim1st,0.8464516485785107
82,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",10,10**8,101803.24854883472,Adim1st,0.8464516485785107
83,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",10,10**9,101803.24854883472,Adim1st,0.8464516485785107
84,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",11,10**1,0.0,Adim1st,0.0
85,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",11,10**10,101803.24854883472,Adim1st,0.8464516485785107
86,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",11,10**11,101803.24854883472,Adim1st,0.8464516485785107
87,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",11,10**12,101803.24854883472,Adim1st,0.8464516485785107
88,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",11,10**2,0.0,Adim1st,0.0
89,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",11,10**3,0.0,Adim1st,0.0
90,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",11,10**4,0.0,Adim1st,0.0
91,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",11,10**5,101803.24854883472,Adim1st,0.8464516485785107
92,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",11,10**6,101803.24854883472,Adim1st,0.8464516485785107
93,Smallest_delta_t_and_choose_top_3_t_sub,"C4,D#4,A4",11,10**7,101803.24854883472,Adim1st,0.8464516485785107
