chord_label,normalized_value,cleaned_method_name,exp_with,r_names_used,harmonics_considered,ground_truth_type
U,0.0,Method E,Intervals,All r_bounds Considered,2,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,2,Interval Ranking Order
P5,0.0,Method E,Intervals,All r_bounds Considered,2,Interval Ranking Order
P4,0.0,Method E,Intervals,All r_bounds Considered,2,Interval Ranking Order
M3,0.0,Method E,Intervals,All r_bounds Considered,2,Interval Ranking Order
M6,0.2258064516129031,Method E,Intervals,All r_bounds Considered,2,Interval Ranking Order
m6,0.0,Method E,Intervals,All r_bounds Considered,2,Interval Ranking Order
m3,0.4516129032258063,Method E,Intervals,All r_bounds Considered,2,Interval Ranking Order
TT,0.8602150537634407,Method E,Intervals,All r_bounds Considered,2,Interval Ranking Order
m7,1.0,Method E,Intervals,All r_bounds Considered,2,Interval Ranking Order
M2,0.7956989247311826,Method E,Intervals,All r_bounds Considered,2,Interval Ranking Order
M7,1.0,Method E,Intervals,All r_bounds Considered,2,Interval Ranking Order
m2,0.7956989247311826,Method E,Intervals,All r_bounds Considered,2,Interval Ranking Order
U,0.0,Method E,Intervals,All r_bounds Considered,3,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,3,Interval Ranking Order
P5,0.0,Method E,Intervals,All r_bounds Considered,3,Interval Ranking Order
P4,0.125,Method E,Intervals,All r_bounds Considered,3,Interval Ranking Order
M3,0.21875,Method E,Intervals,All r_bounds Considered,3,Interval Ranking Order
M6,0.4419642857142858,Method E,Intervals,All r_bounds Considered,3,Interval Ranking Order
m6,0.2125,Method E,Intervals,All r_bounds Considered,3,Interval Ranking Order
m3,0.6124999999999999,Method E,Intervals,All r_bounds Considered,3,Interval Ranking Order
TT,1.0,Method E,Intervals,All r_bounds Considered,3,Interval Ranking Order
m7,0.9723214285714288,Method E,Intervals,All r_bounds Considered,3,Interval Ranking Order
M2,0.8187499999999999,Method E,Intervals,All r_bounds Considered,3,Interval Ranking Order
M7,0.8598214285714285,Method E,Intervals,All r_bounds Considered,3,Interval Ranking Order
m2,0.7721590909090909,Method E,Intervals,All r_bounds Considered,3,Interval Ranking Order
U,0.0,Method E,Intervals,All r_bounds Considered,4,Interval Ranking Order
8v,0.0,Method E,Intervals,All r_bounds Considered,4,Interval Ranking Order
P5,0.0684931506849315,Method E,Intervals,All r_bounds Considered,4,Interval Ranking Order
P4,0.1552511415525114,Method E,Intervals,All r_bounds Considered,4,Interval Ranking Order
M3,0.228310502283105,Method E,Intervals,All r_bounds Considered,4,Interval Ranking Order
M6,0.391906786332861,Method E,Intervals,All r_bounds Considered,4,Interval Ranking Order
m6,0.2031963470319635,Method E,Intervals,All r_bounds Considered,4,Interval Ranking Order
