,correlation,scores_based_on_emp_rank,p_value,subharmonic_method,periods_considered
0,-0.16160220595714692,"[0.4360836390113848, 0.5215672664959862, 0.0054168512343302, 0.0865582199744762, 0.1542894115641612, 1.0, 0.916177907926823, 0.3429978701000641, 0.1835630551170576, 0.0792408169422637, 0.2798141017514379, 0.4625279294380351, 0.0]",0.5978854089247089,Smallest_delta_t_and_choose_top_3_t_sub,4
1,0.42037628969619784,"[0.0, 0.1109198724250039, 0.4132178027279304, 0.3359505851343858, 0.9271623545075448, 0.2360400456523284, 0.1539602625028244, 0.707350328093148, 1.0, 0.6135942229486009, 0.7999956848164618, 0.1552382297217608, 0.5432648925314469]",0.15264266979725652,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),4
2,0.3291489727473383,"[0.437793656875681, 0.5341969182503766, 0.3064365995290753, 0.2151084808024977, 0.9139075361779938, 0.713836286110211, 0.0, 0.6540946495343206, 1.0, 0.5432770354327604, 0.7635993839069457, 0.7977052869162626, 0.4601493437888573]",0.2721393900172259,Smallest_ratio_and_filter_by_smallest_t_sub,4
3,0.32537896521740883,"[0.4676045840605338, 0.5636484078743014, 0.3330349883675894, 0.2367463556934985, 0.9224715345820876, 0.7370443314412654, 0.0, 0.680145201239459, 1.0, 0.5725827769772874, 0.7838855020696974, 0.8157066766696146, 0.4900741426417987]",0.2779971329861577,Smallest_ratio_and_filter_by_smallest_t_sub_without_square,4
4,-0.002457732796989763,"[0.5498627292790443, 0.7613911099998745, 0.1479629687808938, 0.0, 0.6019038274562558, 1.0, 0.8434707574039941, 0.4435327342452274, 0.4031071786296744, 0.2716151738598797, 0.2463363031517522, 0.8459078890966825, 0.4313190909220067]",0.9936421501271681,Smallest_t_sub_and_choose_top_3_delta_t,4
5,0.05912875755735547,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.8478390855186582,Smallest_t_sub_and_filter_by_smallest_delta_t,4
6,0.08658269938225396,"[0.1761048644859862, 0.2338481147105497, 0.0218373607149499, 0.4760324462392729, 0.0774464417700597, 0.4325111571715333, 0.3650583684132216, 0.1557249463104632, 0.2424131516301195, 0.1841148052460602, 1.0, 0.0, 0.0372366352289545]",0.7785181595123516,Smallest_delta_t_and_choose_top_3_t_sub,5
7,0.034585467914362136,"[0.1860315339538514, 0.4924551144194441, 0.0849798867433, 0.0, 0.650225422467323, 1.0, 0.8202205182069141, 0.4084721706837187, 0.7303335855068915, 0.3053575064727195, 0.5103652136434744, 0.1049709377462018, 0.2280080338280465]",0.9106912009483,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),5
8,-0.11025594149977369,"[0.3036807872022111, 0.4092352564728388, 0.0, 0.1703728222616249, 0.4502228526392032, 1.0, 0.4315395206340795, 0.4109061241849985, 0.2768094057030291, 0.1854987972728869, 0.4192081531953393, 0.3363339761620061, 0.0188441307458573]",0.7199139452023492,Smallest_ratio_and_filter_by_smallest_t_sub,5
9,-0.11058857930184753,"[0.3394461778287633, 0.4486924823257485, 0.0, 0.1954560058542769, 0.4900842953981341, 1.0, 0.4712851246703589, 0.4503906861829041, 0.3109880050324362, 0.2121603810074133, 0.4588147162966279, 0.3736652723577112, 0.0223257764702938]",0.719099662100409,Smallest_ratio_and_filter_by_smallest_t_sub_without_square,5
10,-0.002457732796989763,"[0.5498627292790443, 0.7613911099998745, 0.1479629687808938, 0.0, 0.6019038274562558, 1.0, 0.8434707574039941, 0.4435327342452274, 0.4031071786296744, 0.2716151738598797, 0.2463363031517522, 0.8459078890966825, 0.4313190909220067]",0.9936421501271681,Smallest_t_sub_and_choose_top_3_delta_t,5
11,0.05912875755735547,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.8478390855186582,Smallest_t_sub_and_filter_by_smallest_delta_t,5
12,-0.04013994620356118,"[0.2748725225069945, 0.1853986943995367, 0.0, 0.980619020754432, 0.0263779039314754, 0.1948011681647934, 1.0, 0.9437538530191596, 0.1046290805741508, 0.0769755363848732, 0.4639868100472537, 0.1284438526816822, 0.1970480936070885]",0.896412531458539,Smallest_delta_t_and_choose_top_3_t_sub,6
