note_combination,chord_label,raw_values_per_combination,weighted_modulations_per_region_in_note_combinations,weighted_sum_per_region_normalized_tension_value,raw_t_score_summed_only_modulations,raw_t_score_summed_using_weighted_normalized_value,raw_t_score_summed_using_weighted_modulations_no_norm,normed_values_only_modulations,normed_values_weighted_modulations_only,normed_values_normed_weighted_modulations,method,harmonics_considered
"C4,E4,A4",Am1st,"[[0.0, 0.3916666666666666, 0.1, 0.35, 1.955, 0.1, 1.0733333333333333, 0.23333333333333334, 0.7649999999999999, 0.37333333333333335, 0.525, 1.3833333333333333, 0.7583333333333333], [0.0, 0.1, 0.35, 0.7416666666666666, 0.315, 0.31666666666666665, 0.14, 1.815, 0.35, 0.5316666666666666, 0.5483333333333333, 0.5249999999999999, 0.5483333333333333], [0.0, 0.0, 0.21666666666666667, 0.5716666666666667, 0.4083333333333333, 0.24000000000000002, 0.875, 0.37333333333333335, 0.275, 1.925, 0.33333333333333337, 0.49, 1.4], [0.0, 0.24000000000000002, 0.5666666666666667, 0.14, 1.9149999999999998, 0.0, 0.7583333333333333, 0.315, 0.6133333333333334, 0.5249999999999999, 0.7583333333333333, 1.3833333333333333, 0.4083333333333333]]","[[0.0, 0.3916666666666666, 0.1, 0.24499999999999997, 0.0, 0.1, 0.0, 0.0, 0.5354999999999999, 0.0, 0.0, 0.0, 0.0], [0.0, 0.1, 0.35, 0.5191666666666666, 0.0, 0.31666666666666665, 0.0, 0.0, 0.24499999999999997, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.21666666666666667, 0.4001666666666666, 0.0, 0.24000000000000002, 0.0, 0.0, 0.1925, 0.0, 0.0, 0.0, 0.0], [0.0, 0.24000000000000002, 0.5666666666666667, 0.098, 0.0, 0.0, 0.0, 0.0, 0.42933333333333334, 0.0, 0.0, 0.0, 0.0]]","[0.17134235171696147, 0.24369859379145659, 0.14762016412661197, 0.17498906864888505]",29.021666666666665,0.7376501782839151,5.286333333333333,0.1463414634146336,0.03292398899004887,0.11715117650576273,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,7
"C4,E4,G4",CM,"[[0.0, 0.3916666666666666, 0.1, 0.35, 1.955, 0.1, 1.0733333333333333, 0.23333333333333334, 0.7649999999999999, 0.37333333333333335, 0.525, 1.3833333333333333, 0.7583333333333333], [0.0, 0.1, 0.41500000000000004, 0.2566666666666667, 0.7416666666666666, 0.0, 1.9149999999999998, 0.14, 0.43166666666666664, 0.7233333333333334, 0.6249999999999999, 0.5833333333333333, 1.2833333333333332], [0.0, 0.0, 0.21666666666666667, 0.5716666666666667, 0.4083333333333333, 0.24000000000000002, 0.875, 0.37333333333333335, 0.275, 1.925, 0.33333333333333337, 0.49, 1.4], [0.1, 0.14, 0.175, 1.9149999999999998, 0.35, 0.3966666666666667, 0.5083333333333333, 0.7816666666666666, 0.5249999999999999, 0.6483333333333333, 1.2833333333333332, 0.5833333333333334, 0.44999999999999996]]","[[0.0, 0.3916666666666666, 0.1, 0.24499999999999997, 0.0, 0.1, 0.0, 0.0, 0.5354999999999999, 0.0, 0.0, 0.0, 0.0], [0.0, 0.1, 0.41500000000000004, 0.1796666666666667, 0.0, 0.0, 0.0, 0.0, 0.30216666666666664, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.21666666666666667, 0.4001666666666666, 0.0, 0.24000000000000002, 0.0, 0.0, 0.1925, 0.0, 0.0, 0.0, 0.0], [0.06999999999999999, 0.14, 0.175, 1.3404999999999998, 0.0, 0.3966666666666667, 0.0, 0.0, 0.36749999999999994, 0.0, 0.0, 0.0, 0.0]]","[0.17134235171696147, 0.1381612381612382, 0.14762016412661197, 0.3168858718710224]",30.188333333333333,0.774009625875834,5.9079999999999995,0.697088906372935,0.16454936833933237,0.17486868895337426,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,7
"C4,D#4,G4",Cm,"[[0.1, 0.14, 0.175, 1.9149999999999998, 0.35, 0.3966666666666667, 0.5083333333333333, 0.7816666666666666, 0.5249999999999999, 0.6483333333333333, 1.2833333333333332, 0.5833333333333334, 0.44999999999999996], [0.0, 0.1, 0.41500000000000004, 0.2566666666666667, 0.7416666666666666, 0.0, 1.9149999999999998, 0.14, 0.43166666666666664, 0.7233333333333334, 0.6249999999999999, 0.5833333333333333, 1.2833333333333332], [0.0, 0.0, 0.21666666666666667, 0.5716666666666667, 0.4083333333333333, 0.24000000000000002, 0.875, 0.37333333333333335, 0.275, 1.925, 0.33333333333333337, 0.49, 1.4], [0.0, 0.3916666666666666, 0.1, 0.35, 1.955, 0.1, 1.0733333333333333, 0.23333333333333334, 0.7649999999999999, 0.37333333333333335, 0.525, 1.3833333333333333, 0.7583333333333333]]","[[0.06999999999999999, 0.14, 0.175, 1.3404999999999998, 0.0, 0.3966666666666667, 0.0, 0.0, 0.36749999999999994, 0.0, 0.0, 0.0, 0.0], [0.0, 0.1, 0.41500000000000004, 0.1796666666666667, 0.0, 0.0, 0.0, 0.0, 0.30216666666666664, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.21666666666666667, 0.4001666666666666, 0.0, 0.24000000000000002, 0.0, 0.0, 0.1925, 0.0, 0.0, 0.0, 0.0], [0.0, 0.3916666666666666, 0.1, 0.24499999999999997, 0.0, 0.1, 0.0, 0.0, 0.5354999999999999, 0.0, 0.0, 0.0, 0.0]]","[0.3168858718710224, 0.1381612381612382, 0.14762016412661197, 0.17134235171696147]",30.188333333333333,0.774009625875834,5.9079999999999995,0.697088906372935,0.16454936833933237,0.17486868895337426,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,7
"C4,F4,G#4",Fm2nd,"[[0.0, 0.24000000000000002, 0.5666666666666667, 0.14, 1.9149999999999998, 0.0, 0.7583333333333333, 0.315, 0.6133333333333334, 0.5249999999999999, 0.7583333333333333, 1.3833333333333333, 0.4083333333333333], [0.0, 0.49, 0.2, 0.175, 0.8983333333333332, 0.1, 2.055, 0.0, 0.6066666666666667, 0.4083333333333333, 0.7649999999999999, 0.5833333333333333, 1.4233333333333333], [0.0, 0.0, 0.21666666666666667, 0.5716666666666667, 0.4083333333333333, 0.24000000000000002, 0.875, 0.37333333333333335, 0.275, 1.925, 0.33333333333333337, 0.49, 1.4], [0.1, 0.14, 0.175, 1.9149999999999998, 0.35, 0.3966666666666667, 0.5083333333333333, 0.7816666666666666, 0.5249999999999999, 0.6483333333333333, 1.2833333333333332, 0.5833333333333334, 0.44999999999999996]]","[[0.0, 0.24000000000000002, 0.5666666666666667, 0.098, 0.0, 0.0, 0.0, 0.0, 0.42933333333333334, 0.0, 0.0, 0.0, 0.0], [0.0, 0.49, 0.2, 0.12249999999999998, 0.0, 0.1, 0.0, 0.0, 0.42466666666666664, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.21666666666666667, 0.4001666666666666, 0.0, 0.24000000000000002, 0.0, 0.0, 0.1925, 0.0, 0.0, 0.0, 0.0], [0.06999999999999999, 0.14, 0.175, 1.3404999999999998, 0.0, 0.3966666666666667, 0.0, 0.0, 0.36749999999999994, 0.0, 0.0, 0.0, 0.0]]","[0.17498906864888505, 0.1735453168937919, 0.14762016412661197, 0.3168858718710224]",30.29333333333333,0.8130404215403113,6.210166666666666,0.7466561762391806,0.22852706613028437,0.23682673792839062,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,7
"C4,D#4,G#4",G#M1st,"[[0.1, 0.14, 0.175, 1.9149999999999998, 0.35, 0.3966666666666667, 0.5083333333333333, 0.7816666666666666, 0.5249999999999999, 0.6483333333333333, 1.2833333333333332, 0.5833333333333334, 0.44999999999999996], [0.0, 0.49, 0.2, 0.175, 0.8983333333333332, 0.1, 2.055, 0.0, 0.6066666666666667, 0.4083333333333333, 0.7649999999999999, 0.5833333333333333, 1.4233333333333333], [0.0, 0.0, 0.21666666666666667, 0.5716666666666667, 0.4083333333333333, 0.24000000000000002, 0.875, 0.37333333333333335, 0.275, 1.925, 0.33333333333333337, 0.49, 1.4], [0.0, 0.24000000000000002, 0.5666666666666667, 0.14, 1.9149999999999998, 0.0, 0.7583333333333333, 0.315, 0.6133333333333334, 0.5249999999999999, 0.7583333333333333, 1.3833333333333333, 0.4083333333333333]]","[[0.06999999999999999, 0.14, 0.175, 1.3404999999999998, 0.0, 0.3966666666666667, 0.0, 0.0, 0.36749999999999994, 0.0, 0.0, 0.0, 0.0], [0.0, 0.49, 0.2, 0.12249999999999998, 0.0, 0.1, 0.0, 0.0, 0.42466666666666664, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.21666666666666667, 0.4001666666666666, 0.0, 0.24000000000000002, 0.0, 0.0, 0.1925, 0.0, 0.0, 0.0, 0.0], [0.0, 0.24000000000000002, 0.5666666666666667, 0.098, 0.0, 0.0, 0.0, 0.0, 0.42933333333333334, 0.0, 0.0, 0.0, 0.0]]","[0.3168858718710224, 0.1735453168937919, 0.14762016412661197, 0.17498906864888505]",30.293333333333333,0.8130404215403113,6.210166666666666,0.7466561762391822,0.22852706613028437,0.23682673792839062,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,7
"C4,F4,A#4",Fsus42nd,"[[0.0, 0.24000000000000002, 0.5666666666666667, 0.14, 1.9149999999999998, 0.0, 0.7583333333333333, 0.315, 0.6133333333333334, 0.5249999999999999, 0.7583333333333333, 1.3833333333333333, 0.4083333333333333], [0.1, 0.14, 0.6416666666666666, 0.35, 0.375, 0.28, 0.21666666666666667, 0.35, 1.815, 0.3566666666666667, 0.5833333333333333, 0.6649999999999999, 0.5483333333333333], [0.0, 0.0, 0.21666666666666667, 0.5716666666666667, 0.4083333333333333, 0.24000000000000002, 0.875, 0.37333333333333335, 0.275, 1.925, 0.33333333333333337, 0.49, 1.4], [0.0, 0.24000000000000002, 0.5666666666666667, 0.14, 1.9149999999999998, 0.0, 0.7583333333333333, 0.315, 0.6133333333333334, 0.5249999999999999, 0.7583333333333333, 1.3833333333333333, 0.4083333333333333]]","[[0.0, 0.24000000000000002, 0.5666666666666667, 0.098, 0.0, 0.0, 0.0, 0.0, 0.42933333333333334, 0.0, 0.0, 0.0, 0.0], [0.06999999999999999, 0.14, 0.6416666666666666, 0.24499999999999997, 0.0, 0.28, 0.0, 0.0, 1.2705, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.21666666666666667, 0.4001666666666666, 0.0, 0.24000000000000002, 0.0, 0.0, 0.1925, 0.0, 0.0, 0.0, 0.0], [0.0, 0.24000000000000002, 0.5666666666666667, 0.098, 0.0, 0.0, 0.0, 0.0, 0.42933333333333334, 0.0, 0.0, 0.0, 0.0]]","[0.17498906864888505, 0.41222424085128473, 0.14762016412661197, 0.17498906864888505]",28.77666666666666,0.9098225422756668,6.3645,0.030684500393388294,0.2612040369821441,0.3904600747420845,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,7
"C4,F4,G4",Csus4,"[[0.0, 0.24000000000000002, 0.5666666666666667, 0.14, 1.9149999999999998, 0.0, 0.7583333333333333, 0.315, 0.6133333333333334, 0.5249999999999999, 0.7583333333333333, 1.3833333333333333, 0.4083333333333333], [0.0, 0.1, 0.41500000000000004, 0.2566666666666667, 0.7416666666666666, 0.0, 1.9149999999999998, 0.14, 0.43166666666666664, 0.7233333333333334, 0.6249999999999999, 0.5833333333333333, 1.2833333333333332], [0.0, 0.0, 0.21666666666666667, 0.5716666666666667, 0.4083333333333333, 0.24000000000000002, 0.875, 0.37333333333333335, 0.275, 1.925, 0.33333333333333337, 0.49, 1.4], [0.0, 0.21666666666666667, 1.955, 0.275, 0.6066666666666667, 0.175, 0.6133333333333334, 0.5249999999999999, 0.875, 0.275, 1.4233333333333333, 0.5833333333333334, 0.44999999999999996]]","[[0.0, 0.24000000000000002, 0.5666666666666667, 0.098, 0.0, 0.0, 0.0, 0.0, 0.42933333333333334, 0.0, 0.0, 0.0, 0.0], [0.0, 0.1, 0.41500000000000004, 0.1796666666666667, 0.0, 0.0, 0.0, 0.0, 0.30216666666666664, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.21666666666666667, 0.4001666666666666, 0.0, 0.24000000000000002, 0.0, 0.0, 0.1925, 0.0, 0.0, 0.0, 0.0], [0.0, 0.21666666666666667, 1.955, 0.1925, 0.0, 0.175, 0.0, 0.0, 0.6124999999999999, 0.0, 0.0, 0.0, 0.0]]","[0.17498906864888505, 0.1381612381612382, 0.14762016412661197, 0.39527591973244136]",29.92,0.8560463906691765,6.531833333333333,0.5704169944925269,0.29663349565953845,0.305095034696149,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,7
"C4,D4,G4",Csus2,"[[0.0, 0.21666666666666667, 1.955, 0.275, 0.6066666666666667, 0.175, 0.6133333333333334, 0.5249999999999999, 0.875, 0.275, 1.4233333333333333, 0.5833333333333334, 0.44999999999999996], [0.0, 0.1, 0.41500000000000004, 0.2566666666666667, 0.7416666666666666, 0.0, 1.9149999999999998, 0.14, 0.43166666666666664, 0.7233333333333334, 0.6249999999999999, 0.5833333333333333, 1.2833333333333332], [0.0, 0.0, 0.21666666666666667, 0.5716666666666667, 0.4083333333333333, 0.24000000000000002, 0.875, 0.37333333333333335, 0.275, 1.925, 0.33333333333333337, 0.49, 1.4], [0.0, 0.24000000000000002, 0.5666666666666667, 0.14, 1.9149999999999998, 0.0, 0.7583333333333333, 0.315, 0.6133333333333334, 0.5249999999999999, 0.7583333333333333, 1.3833333333333333, 0.4083333333333333]]","[[0.0, 0.21666666666666667, 1.955, 0.1925, 0.0, 0.175, 0.0, 0.0, 0.6124999999999999, 0.0, 0.0, 0.0, 0.0], [0.0, 0.1, 0.41500000000000004, 0.1796666666666667, 0.0, 0.0, 0.0, 0.0, 0.30216666666666664, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.21666666666666667, 0.4001666666666666, 0.0, 0.24000000000000002, 0.0, 0.0, 0.1925, 0.0, 0.0, 0.0, 0.0], [0.0, 0.24000000000000002, 0.5666666666666667, 0.098, 0.0, 0.0, 0.0, 0.0, 0.42933333333333334, 0.0, 0.0, 0.0, 0.0]]","[0.39527591973244136, 0.1381612381612382, 0.14762016412661197, 0.17498906864888505]",29.919999999999998,0.8560463906691766,6.531833333333333,0.5704169944925253,0.29663349565953845,0.3050950346961492,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,7
"C4,F#4,A4",F#dim2nd,"[[0.0, 0.525, 0.14, 0.4566666666666667, 0.0, 2.456666666666667, 0.0, 0.3566666666666667, 0.5483333333333333, 1.015, 0.23333333333333334, 0.275, 1.4583333333333333], [0.0, 0.1, 0.35, 0.7416666666666666, 0.315, 0.31666666666666665, 0.14, 1.815, 0.35, 0.5316666666666666, 0.5483333333333333, 0.5249999999999999, 0.5483333333333333], [0.0, 0.0, 0.21666666666666667, 0.5716666666666667, 0.4083333333333333, 0.24000000000000002, 0.875, 0.37333333333333335, 0.275, 1.925, 0.33333333333333337, 0.49, 1.4], [0.1, 0.14, 0.175, 1.9149999999999998, 0.35, 0.3966666666666667, 0.5083333333333333, 0.7816666666666666, 0.5249999999999999, 0.6483333333333333, 1.2833333333333332, 0.5833333333333334, 0.44999999999999996]]","[[0.0, 0.525, 0.14, 0.3196666666666667, 0.0, 2.456666666666667, 0.0, 0.0, 0.3838333333333333, 0.0, 0.0, 0.0, 0.0], [0.0, 0.1, 0.35, 0.5191666666666666, 0.0, 0.31666666666666665, 0.0, 0.0, 0.24499999999999997, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.21666666666666667, 0.4001666666666666, 0.0, 0.24000000000000002, 0.0, 0.0, 0.1925, 0.0, 0.0, 0.0, 0.0], [0.06999999999999999, 0.14, 0.175, 1.3404999999999998, 0.0, 0.3966666666666667, 0.0, 0.0, 0.36749999999999994, 0.0, 0.0, 0.0, 0.0]]","[0.5124134851529359, 0.24369859379145659, 0.14762016412661197, 0.3168858718710224]",28.711666666666666,1.2206181149420268,8.895,0.0,0.796986378714094,0.8838214573286585,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,7
"C4,D#4,A4",Adim1st,"[[0.1, 0.14, 0.175, 1.9149999999999998, 0.35, 0.3966666666666667, 0.5083333333333333, 0.7816666666666666, 0.5249999999999999, 0.6483333333333333, 1.2833333333333332, 0.5833333333333334, 0.44999999999999996], [0.0, 0.1, 0.35, 0.7416666666666666, 0.315, 0.31666666666666665, 0.14, 1.815, 0.35, 0.5316666666666666, 0.5483333333333333, 0.5249999999999999, 0.5483333333333333], [0.0, 0.0, 0.21666666666666667, 0.5716666666666667, 0.4083333333333333, 0.24000000000000002, 0.875, 0.37333333333333335, 0.275, 1.925, 0.33333333333333337, 0.49, 1.4], [0.0, 0.525, 0.14, 0.4566666666666667, 0.0, 2.456666666666667, 0.0, 0.3566666666666667, 0.5483333333333333, 1.015, 0.23333333333333334, 0.275, 1.4583333333333333]]","[[0.06999999999999999, 0.14, 0.175, 1.3404999999999998, 0.0, 0.3966666666666667, 0.0, 0.0, 0.36749999999999994, 0.0, 0.0, 0.0, 0.0], [0.0, 0.1, 0.35, 0.5191666666666666, 0.0, 0.31666666666666665, 0.0, 0.0, 0.24499999999999997, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.21666666666666667, 0.4001666666666666, 0.0, 0.24000000000000002, 0.0, 0.0, 0.1925, 0.0, 0.0, 0.0, 0.0], [0.0, 0.525, 0.14, 0.3196666666666667, 0.0, 2.456666666666667, 0.0, 0.0, 0.3838333333333333, 0.0, 0.0, 0.0, 0.0]]","[0.3168858718710224, 0.24369859379145659, 0.14762016412661197, 0.5124134851529359]",28.711666666666666,1.220618114942027,8.895,0.0,0.796986378714094,0.8838214573286589,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,7
"C4,D#4,F#4",Cdim,"[[0.1, 0.14, 0.175, 1.9149999999999998, 0.35, 0.3966666666666667, 0.5083333333333333, 0.7816666666666666, 0.5249999999999999, 0.6483333333333333, 1.2833333333333332, 0.5833333333333334, 0.44999999999999996], [0.0, 0.525, 0.14, 0.4566666666666667, 0.0, 2.456666666666667, 0.0, 0.3566666666666667, 0.5483333333333333, 1.015, 0.23333333333333334, 0.275, 1.4583333333333333], [0.0, 0.0, 0.21666666666666667, 0.5716666666666667, 0.4083333333333333, 0.24000000000000002, 0.875, 0.37333333333333335, 0.275, 1.925, 0.33333333333333337, 0.49, 1.4], [0.1, 0.14, 0.175, 1.9149999999999998, 0.35, 0.3966666666666667, 0.5083333333333333, 0.7816666666666666, 0.5249999999999999, 0.6483333333333333, 1.2833333333333332, 0.5833333333333334, 0.44999999999999996]]","[[0.06999999999999999, 0.14, 0.175, 1.3404999999999998, 0.0, 0.3966666666666667, 0.0, 0.0, 0.36749999999999994, 0.0, 0.0, 0.0, 0.0], [0.0, 0.525, 0.14, 0.3196666666666667, 0.0, 2.456666666666667, 0.0, 0.0, 0.3838333333333333, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.21666666666666667, 0.4001666666666666, 0.0, 0.24000000000000002, 0.0, 0.0, 0.1925, 0.0, 0.0, 0.0, 0.0], [0.06999999999999999, 0.14, 0.175, 1.3404999999999998, 0.0, 0.3966666666666667, 0.0, 0.0, 0.36749999999999994, 0.0, 0.0, 0.0, 0.0]]","[0.3168858718710224, 0.5124134851529359, 0.14762016412661197, 0.3168858718710224]",30.28666666666667,1.2938053930215927,9.853833333333334,0.7435090479937074,1.0,1.0,Experimental_methods's  with weights on harmonics and weights on regions and distributive Cap 0,7
"C4,D#4,A4",Adim1st,"[[0.1, 0.14, 0.175, 1.9149999999999998, 0.35, 0.3966666666666667, 0.5083333333333333, 0.7816666666666666, 0.5249999999999999, 0.6483333333333333, 1.2833333333333332, 0.5833333333333334, 0.44999999999999996], [0.0, 0.1, 0.35, 0.7416666666666666, 0.315, 0.31666666666666665, 0.14, 1.815, 0.35, 0.5316666666666666, 0.5483333333333333, 0.5249999999999999, 0.5483333333333333], [0.0, 0.0, 0.21666666666666667, 0.5716666666666667, 0.4083333333333333, 0.24000000000000002, 0.875, 0.37333333333333335, 0.275, 1.925, 0.33333333333333337, 0.49, 1.4], [0.0, 0.525, 0.14, 0.4566666666666667, 0.0, 2.456666666666667, 0.0, 0.3566666666666667, 0.5483333333333333, 1.015, 0.23333333333333334, 0.275, 1.4583333333333333]]",,,28.711666666666666,,,0.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,7
"C4,F#4,A4",F#dim2nd,"[[0.0, 0.525, 0.14, 0.4566666666666667, 0.0, 2.456666666666667, 0.0, 0.3566666666666667, 0.5483333333333333, 1.015, 0.23333333333333334, 0.275, 1.4583333333333333], [0.0, 0.1, 0.35, 0.7416666666666666, 0.315, 0.31666666666666665, 0.14, 1.815, 0.35, 0.5316666666666666, 0.5483333333333333, 0.5249999999999999, 0.5483333333333333], [0.0, 0.0, 0.21666666666666667, 0.5716666666666667, 0.4083333333333333, 0.24000000000000002, 0.875, 0.37333333333333335, 0.275, 1.925, 0.33333333333333337, 0.49, 1.4], [0.1, 0.14, 0.175, 1.9149999999999998, 0.35, 0.3966666666666667, 0.5083333333333333, 0.7816666666666666, 0.5249999999999999, 0.6483333333333333, 1.2833333333333332, 0.5833333333333334, 0.44999999999999996]]",,,28.711666666666666,,,0.0,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,7
"C4,F4,A#4",Fsus42nd,"[[0.0, 0.24000000000000002, 0.5666666666666667, 0.14, 1.9149999999999998, 0.0, 0.7583333333333333, 0.315, 0.6133333333333334, 0.5249999999999999, 0.7583333333333333, 1.3833333333333333, 0.4083333333333333], [0.1, 0.14, 0.6416666666666666, 0.35, 0.375, 0.28, 0.21666666666666667, 0.35, 1.815, 0.3566666666666667, 0.5833333333333333, 0.6649999999999999, 0.5483333333333333], [0.0, 0.0, 0.21666666666666667, 0.5716666666666667, 0.4083333333333333, 0.24000000000000002, 0.875, 0.37333333333333335, 0.275, 1.925, 0.33333333333333337, 0.49, 1.4], [0.0, 0.24000000000000002, 0.5666666666666667, 0.14, 1.9149999999999998, 0.0, 0.7583333333333333, 0.315, 0.6133333333333334, 0.5249999999999999, 0.7583333333333333, 1.3833333333333333, 0.4083333333333333]]",,,28.77666666666666,,,0.030684500393388294,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,7
"C4,F4,A4",FM2nd,"[[0.0, 0.24000000000000002, 0.5666666666666667, 0.14, 1.9149999999999998, 0.0, 0.7583333333333333, 0.315, 0.6133333333333334, 0.5249999999999999, 0.7583333333333333, 1.3833333333333333, 0.4083333333333333], [0.0, 0.1, 0.35, 0.7416666666666666, 0.315, 0.31666666666666665, 0.14, 1.815, 0.35, 0.5316666666666666, 0.5483333333333333, 0.5249999999999999, 0.5483333333333333], [0.0, 0.0, 0.21666666666666667, 0.5716666666666667, 0.4083333333333333, 0.24000000000000002, 0.875, 0.37333333333333335, 0.275, 1.925, 0.33333333333333337, 0.49, 1.4], [0.0, 0.3916666666666666, 0.1, 0.35, 1.955, 0.1, 1.0733333333333333, 0.23333333333333334, 0.7649999999999999, 0.37333333333333335, 0.525, 1.3833333333333333, 0.7583333333333333]]",,,29.02166666666666,,,0.14634146341463194,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,7
"C4,E4,A4",Am1st,"[[0.0, 0.3916666666666666, 0.1, 0.35, 1.955, 0.1, 1.0733333333333333, 0.23333333333333334, 0.7649999999999999, 0.37333333333333335, 0.525, 1.3833333333333333, 0.7583333333333333], [0.0, 0.1, 0.35, 0.7416666666666666, 0.315, 0.31666666666666665, 0.14, 1.815, 0.35, 0.5316666666666666, 0.5483333333333333, 0.5249999999999999, 0.5483333333333333], [0.0, 0.0, 0.21666666666666667, 0.5716666666666667, 0.4083333333333333, 0.24000000000000002, 0.875, 0.37333333333333335, 0.275, 1.925, 0.33333333333333337, 0.49, 1.4], [0.0, 0.24000000000000002, 0.5666666666666667, 0.14, 1.9149999999999998, 0.0, 0.7583333333333333, 0.315, 0.6133333333333334, 0.5249999999999999, 0.7583333333333333, 1.3833333333333333, 0.4083333333333333]]",,,29.021666666666665,,,0.1463414634146336,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,7
"C4,D4,G4",Csus2,"[[0.0, 0.21666666666666667, 1.955, 0.275, 0.6066666666666667, 0.175, 0.6133333333333334, 0.5249999999999999, 0.875, 0.275, 1.4233333333333333, 0.5833333333333334, 0.44999999999999996], [0.0, 0.1, 0.41500000000000004, 0.2566666666666667, 0.7416666666666666, 0.0, 1.9149999999999998, 0.14, 0.43166666666666664, 0.7233333333333334, 0.6249999999999999, 0.5833333333333333, 1.2833333333333332], [0.0, 0.0, 0.21666666666666667, 0.5716666666666667, 0.4083333333333333, 0.24000000000000002, 0.875, 0.37333333333333335, 0.275, 1.925, 0.33333333333333337, 0.49, 1.4], [0.0, 0.24000000000000002, 0.5666666666666667, 0.14, 1.9149999999999998, 0.0, 0.7583333333333333, 0.315, 0.6133333333333334, 0.5249999999999999, 0.7583333333333333, 1.3833333333333333, 0.4083333333333333]]",,,29.919999999999998,,,0.5704169944925253,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,7
"C4,F4,G4",Csus4,"[[0.0, 0.24000000000000002, 0.5666666666666667, 0.14, 1.9149999999999998, 0.0, 0.7583333333333333, 0.315, 0.6133333333333334, 0.5249999999999999, 0.7583333333333333, 1.3833333333333333, 0.4083333333333333], [0.0, 0.1, 0.41500000000000004, 0.2566666666666667, 0.7416666666666666, 0.0, 1.9149999999999998, 0.14, 0.43166666666666664, 0.7233333333333334, 0.6249999999999999, 0.5833333333333333, 1.2833333333333332], [0.0, 0.0, 0.21666666666666667, 0.5716666666666667, 0.4083333333333333, 0.24000000000000002, 0.875, 0.37333333333333335, 0.275, 1.925, 0.33333333333333337, 0.49, 1.4], [0.0, 0.21666666666666667, 1.955, 0.275, 0.6066666666666667, 0.175, 0.6133333333333334, 0.5249999999999999, 0.875, 0.275, 1.4233333333333333, 0.5833333333333334, 0.44999999999999996]]",,,29.92,,,0.5704169944925269,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,7
"C4,E4,G4",CM,"[[0.0, 0.3916666666666666, 0.1, 0.35, 1.955, 0.1, 1.0733333333333333, 0.23333333333333334, 0.7649999999999999, 0.37333333333333335, 0.525, 1.3833333333333333, 0.7583333333333333], [0.0, 0.1, 0.41500000000000004, 0.2566666666666667, 0.7416666666666666, 0.0, 1.9149999999999998, 0.14, 0.43166666666666664, 0.7233333333333334, 0.6249999999999999, 0.5833333333333333, 1.2833333333333332], [0.0, 0.0, 0.21666666666666667, 0.5716666666666667, 0.4083333333333333, 0.24000000000000002, 0.875, 0.37333333333333335, 0.275, 1.925, 0.33333333333333337, 0.49, 1.4], [0.1, 0.14, 0.175, 1.9149999999999998, 0.35, 0.3966666666666667, 0.5083333333333333, 0.7816666666666666, 0.5249999999999999, 0.6483333333333333, 1.2833333333333332, 0.5833333333333334, 0.44999999999999996]]",,,30.188333333333333,,,0.697088906372935,,,Experimental_methods's  with weights on harmonics without weights on regions and distributive Cap 0,7
