,correlation,scores_based_on_emp_rank,p_value,subharmonic_method,periods_considered
0,-0.2672628077608533,"[0.4360836390113848, 0.5215672664959862, 0.0054168512343302, 0.0865582199744762, 0.1542894115641612, 1.0, 0.916177907926823, 0.3429978701000641, 0.1835630551170576, 0.0792408169422637, 0.2798141017514379, 0.4625279294380351, 0.0]",0.377370966575961,Smallest_delta_t_and_choose_top_3_t_sub,4
1,0.404309718556508,"[0.0, 0.1109198724250039, 0.4132178027279304, 0.3359505851343858, 0.9271623545075448, 0.2360400456523284, 0.1539602625028244, 0.707350328093148, 1.0, 0.6135942229486009, 0.7999956848164618, 0.1552382297217608, 0.5432648925314469]",0.17061122429782513,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),4
2,0.19315667532904615,"[0.437793656875681, 0.5341969182503766, 0.3064365995290753, 0.2151084808024977, 0.9139075361779938, 0.713836286110211, 0.0, 0.6540946495343206, 1.0, 0.5432770354327604, 0.7635993839069457, 0.7977052869162626, 0.4601493437888573]",0.5272157310666039,Smallest_ratio_and_filter_by_smallest_t_sub,4
3,0.19287343662568665,"[0.4676045840605338, 0.5636484078743014, 0.3330349883675894, 0.2367463556934985, 0.9224715345820876, 0.7370443314412654, 0.0, 0.680145201239459, 1.0, 0.5725827769772874, 0.7838855020696974, 0.8157066766696146, 0.4900741426417987]",0.5278333679623882,Smallest_ratio_and_filter_by_smallest_t_sub_without_square,4
4,-0.06633914619856174,"[0.5498627292790443, 0.7613911099998745, 0.1479629687808938, 0.0, 0.6019038274562558, 1.0, 0.8434707574039941, 0.4435327342452274, 0.4031071786296744, 0.2716151738598797, 0.2463363031517522, 0.8459078890966825, 0.4313190909220067]",0.8295149527096172,Smallest_t_sub_and_choose_top_3_delta_t,4
5,-0.025799851432386667,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.9333249715181471,Smallest_t_sub_and_filter_by_smallest_delta_t,4
6,-0.05059173123993488,"[0.1761048644859862, 0.2338481147105497, 0.0218373607149499, 0.4760324462392729, 0.0774464417700597, 0.4325111571715333, 0.3650583684132216, 0.1557249463104632, 0.2424131516301195, 0.1841148052460602, 1.0, 0.0, 0.0372366352289545]",0.8696254020328366,Smallest_delta_t_and_choose_top_3_t_sub,5
7,-0.020677369217016864,"[0.1860315339538514, 0.4924551144194441, 0.0849798867433, 0.0, 0.650225422467323, 1.0, 0.8202205182069141, 0.4084721706837187, 0.7303335855068915, 0.3053575064727195, 0.5103652136434744, 0.1049709377462018, 0.2280080338280465]",0.9465440156763715,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),5
8,-0.22360338825990803,"[0.3036807872022111, 0.4092352564728388, 0.0, 0.1703728222616249, 0.4502228526392032, 1.0, 0.4315395206340795, 0.4109061241849985, 0.2768094057030291, 0.1854987972728869, 0.4192081531953393, 0.3363339761620061, 0.0188441307458573]",0.46273149678509096,Smallest_ratio_and_filter_by_smallest_t_sub,5
9,-0.23869190905567275,"[0.3394461778287633, 0.4486924823257485, 0.0, 0.1954560058542769, 0.4900842953981341, 1.0, 0.4712851246703589, 0.4503906861829041, 0.3109880050324362, 0.2121603810074133, 0.4588147162966279, 0.3736652723577112, 0.0223257764702938]",0.43224613155313985,Smallest_ratio_and_filter_by_smallest_t_sub_without_square,5
10,-0.06633914619856174,"[0.5498627292790443, 0.7613911099998745, 0.1479629687808938, 0.0, 0.6019038274562558, 1.0, 0.8434707574039941, 0.4435327342452274, 0.4031071786296744, 0.2716151738598797, 0.2463363031517522, 0.8459078890966825, 0.4313190909220067]",0.8295149527096172,Smallest_t_sub_and_choose_top_3_delta_t,5
11,-0.025799851432386667,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.9333249715181471,Smallest_t_sub_and_filter_by_smallest_delta_t,5
12,-0.04378412892216891,"[0.2748725225069945, 0.1853986943995367, 0.0, 0.980619020754432, 0.0263779039314754, 0.1948011681647934, 1.0, 0.9437538530191596, 0.1046290805741508, 0.0769755363848732, 0.4639868100472537, 0.1284438526816822, 0.1970480936070885]",0.8870599110172925,Smallest_delta_t_and_choose_top_3_t_sub,6
13,-0.3241936232327507,"[0.4759813953582208, 0.5692860109192295, 0.0059124447200302, 0.0944775236616924, 0.1684055140701828, 0.3079165079871017, 1.0, 0.3743791103588366, 0.2003574344337052, 0.0308515898546106, 0.1126209087964617, 0.5048451020661133, 0.0]",0.2798539324487069,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),6
14,-0.0902263346891809,"[0.2815134219476453, 0.343067745111192, 0.2121275974052192, 0.0631864597725421, 0.0622925480718677, 0.433420501962538, 1.0, 0.0459393217895583, 0.1583895346381922, 0.3760880514262614, 0.6531537703164936, 0.0, 0.1648187723175533]",0.7694194744725245,Smallest_ratio_and_filter_by_smallest_t_sub,6
15,-0.1048167555737122,"[0.3359525716419917, 0.4017168068889727, 0.258955376045086, 0.0814417141586584, 0.0803179308016041, 0.494419143523107, 1.0, 0.0596208824500746, 0.1969907152840919, 0.4360978202086864, 0.7040042464210126, 0.0, 0.2045195061316482]",0.7332668985696894,Smallest_ratio_and_filter_by_smallest_t_sub_without_square,6
16,-0.06633914619856174,"[0.5498627292790443, 0.7613911099998745, 0.1479629687808938, 0.0, 0.6019038274562558, 1.0, 0.8434707574039941, 0.4435327342452274, 0.4031071786296744, 0.2716151738598797, 0.2463363031517522, 0.8459078890966825, 0.4313190909220067]",0.8295149527096172,Smallest_t_sub_and_choose_top_3_delta_t,6
17,-0.025799851432386667,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.9333249715181471,Smallest_t_sub_and_filter_by_smallest_delta_t,6
18,0.06561164528434635,"[0.2005169807242706, 0.1110657641386091, 0.0, 1.0, 0.0158020641192361, 0.1166984517738359, 0.5990644351532534, 0.5653693688826295, 0.1315850468901072, 0.5618523517335088, 0.6175909740531701, 0.3652781248388064, 0.1180445048947558]",0.8313603408966604,Smallest_delta_t_and_choose_top_3_t_sub,7
19,-0.31520952933162116,"[0.6176679523202805, 0.6912760378754125, 0.4210157796110167, 1.0, 0.0769853829887603, 0.208100859836771, 0.8585360300423994, 0.2705638640622246, 0.1070144950827345, 0.0, 0.2057495043863563, 0.3931786504304958, 0.4406459720838267]",0.2941606251307671,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),7
20,0.04843403236623846,"[0.0720441122930574, 0.2544479638270981, 0.2843392723327303, 1.0, 0.4333610630250648, 0.3214611859518961, 0.741684310032203, 0.6988323838350955, 0.1719239870316029, 0.2510067908511316, 0.3068788925188757, 0.0, 0.4256998905472257]",0.8751458289708048,Smallest_ratio_and_filter_by_smallest_t_sub,7
21,0.06793490259234733,"[0.0975947389802831, 0.3172925787371085, 0.3503734021956752, 1.0, 0.5058803402347308, 0.3905127252213691, 0.7898414338058862, 0.7528182498858292, 0.2220380056544967, 0.3134385150014222, 0.3748653482475496, 0.0, 0.4982282888806118]",0.8254699675739087,Smallest_ratio_and_filter_by_smallest_t_sub_without_square,7
22,-0.06633914619856174,"[0.5498627292790443, 0.7613911099998745, 0.1479629687808938, 0.0, 0.6019038274562558, 1.0, 0.8434707574039941, 0.4435327342452274, 0.4031071786296744, 0.2716151738598797, 0.2463363031517522, 0.8459078890966825, 0.4313190909220067]",0.8295149527096172,Smallest_t_sub_and_choose_top_3_delta_t,7
23,-0.025799851432386667,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.9333249715181471,Smallest_t_sub_and_filter_by_smallest_delta_t,7
24,0.6211923357879029,"[0.1110540604752591, 0.0615125165102139, 0.0, 0.5538386827595848, 0.266226530369353, 0.0646321168105042, 0.3317850576533925, 0.9526931441174104, 0.3392389536317577, 1.0, 0.9514753265562113, 0.2023051555016157, 0.9067036581438876]",0.023447722860033215,Smallest_delta_t_and_choose_top_3_t_sub,8
25,0.018705453762080687,"[0.1577115068346835, 0.2167438680244021, 0.0, 0.4643349349923027, 0.0568505469558263, 0.419842038494488, 0.3508833745164665, 0.1368766094903947, 0.2255001183406379, 0.165900268537879, 1.0, 0.2768265172637152, 0.015743061425102]",0.951636260296193,Smallest_delta_t_and_filter_by_smallest_t_sub_(Chan's_method?),8
26,-0.2383034545436089,"[0.9380817740336588, 0.5953980630800244, 0.2926815002914181, 1.0, 0.2294712079671194, 0.3012371513868117, 0.4713124301038623, 0.561448814301232, 0.0, 0.2348342452590511, 0.0827469153773379, 0.3559534667394177, 0.7331775161480176]",0.4330182227826447,Smallest_ratio_and_filter_by_smallest_t_sub,8
27,-0.22693713211236444,"[0.95195481940374, 0.6631545781550469, 0.362802830151047, 1.0, 0.2922048732274033, 0.3721065782162092, 0.5464877177496358, 0.6319949193963179, 0.0, 0.2983284651776149, 0.1131950951286675, 0.4303111693642947, 0.7844635519439273]",0.4559092077643262,Smallest_ratio_and_filter_by_smallest_t_sub_without_square,8
28,-0.06633914619856174,"[0.5498627292790443, 0.7613911099998745, 0.1479629687808938, 0.0, 0.6019038274562558, 1.0, 0.8434707574039941, 0.4435327342452274, 0.4031071786296744, 0.2716151738598797, 0.2463363031517522, 0.8459078890966825, 0.4313190909220067]",0.8295149527096172,Smallest_t_sub_and_choose_top_3_delta_t,8
29,-0.025799851432386667,"[0.090567557665143, 0.4329291561745582, 0.154029036891946, 0.4021167093540274, 0.6092031060400445, 1.0, 0.7991355930494851, 0.3390965117638329, 0.6987065271220884, 0.379743935577654, 0.9929916556862098, 0.0, 0.1374671519291471]",0.9333249715181471,Smallest_t_sub_and_filter_by_smallest_delta_t,8
30,0.5667227391581743,"[0.0, 0.3806656077497218, 0.2089934432201985, 0.5697564088008593, 0.3166770215201738, 0.324532128288305, 0.673331917574538, 0.9467832026907268, 0.2566915298341917, 1.0, 0.9454132458608994, 0.1026508935685587, 0.8950483514149448]",0.043434599600319694,Smallest_delta_t_and_choose_top_3_t_sub,9
